"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Lupanshui","Lupanshui","26.5944","104.8333","China","CN","CHN","Guizhou","","1221000","1156070389"
"Fengcheng","Fengcheng","28.2004","115.7700","China","CN","CHN","Jiangxi","","61469","1156545200"
"Yulin","Yulin","22.6300","110.1500","China","CN","CHN","Guangxi","","1127000","1156901312"
"Shishou","Shishou","29.7004","112.4000","China","CN","CHN","Hubei","","231787","1156284109"
"Yantai","Yantai","37.5304","121.4000","China","CN","CHN","Shandong","","2116000","1156932948"
"Yishui","Yishui","35.7904","118.6200","China","CN","CHN","Shandong","","94115","1156736933"
"Zibo","Zibo","36.8000","118.0500","China","CN","CHN","Shandong","","3061000","1156381094"
"Shanghai","Shanghai","31.2165","121.4365","China","CN","CHN","Shanghai","admin","14987000","1156073548"
"Weifang","Weifang","36.7204","119.1001","China","CN","CHN","Shandong","","1553000","1156912965"
"Yongzhou","Yongzhou","26.2304","111.6200","China","CN","CHN","Hunan","","1000000","1156694479"
"Zunyi","Zunyi","27.7000","106.9200","China","CN","CHN","Guizhou","","849000","1156539782"
"Wuyuan","Wuyuan","41.0896","108.2722","China","CN","CHN","Inner Mongolia","","30057","1156146594"
"Shuangcheng","Shuangcheng","45.3503","126.2800","China","CN","CHN","Heilongjiang","","130710","1156257611"
"Shijianzhuang","Shijianzhuang","38.0500","114.4800","China","CN","CHN","Hebei","admin","2417000","1156217541"
"Qinhuangdao","Qinhuangdao","39.9304","119.6200","China","CN","CHN","Hebei","","1003000","1156091093"
"Guangshui","Guangshui","31.6204","114.0000","China","CN","CHN","Hubei","","154771","1156267419"
"Nanchang","Nanchang","28.6800","115.8800","China","CN","CHN","Jiangxi","admin","2350000","1156198892"
"Nehe","Nehe","48.4900","124.8800","China","CN","CHN","Heilongjiang","","108253","1156609562"
"Shangqiu","Shangqiu","34.4504","115.6500","China","CN","CHN","Henan","","1753000","1156805441"
"Hengshui","Hengshui","37.7200","115.7000","China","CN","CHN","Hebei","","456356","1156803028"
"Xiaogan","Xiaogan","30.9204","113.9000","China","CN","CHN","Hubei","","160437","1156002290"
"Xiangtan","Xiangtan","27.8504","112.9000","China","CN","CHN","Hunan","","2586948","1156195684"
"Xian","Xian","34.2750","108.8950","China","CN","CHN","Shaanxi","admin","4009000","1156244079"
"Tianjin","Tianjin","39.1300","117.2000","China","CN","CHN","Tianjin","admin","7180000","1156174046"
"Daqing","Daqing","46.5800","125.0000","China","CN","CHN","Heilongjiang","","1693000","1156403962"
"Taian","Taian","36.2000","117.1201","China","CN","CHN","Shandong","","1629000","1156095188"
"Nangong","Nangong","37.3704","115.3700","China","CN","CHN","Hebei","","82386","1156426803"
"Shizuishan","Shizuishan","39.2333","106.7690","China","CN","CHN","Ningxia","","136570","1156361664"
"Changsha","Changsha","28.2000","112.9700","China","CN","CHN","Hunan","admin","2604000","1156961497"
"Shenyeng","Shenyeng","41.8050","123.4500","China","CN","CHN","Liaoning","admin","4787000","1156309382"
"Panshi","Panshi","42.9426","126.0561","China","CN","CHN","Jilin","","86216","1156659612"
"Jilin","Jilin","43.8500","126.5500","China","CN","CHN","Jilin","","2396000","1156646448"
"Macheng","Macheng","31.1800","115.0300","China","CN","CHN","Hubei","","126366","1156949639"
"Mishan","Mishan","45.5504","131.8800","China","CN","CHN","Heilongjiang","","87257","1156267144"
"Hengyang","Hengyang","26.8800","112.5900","China","CN","CHN","Hunan","","1016000","1156696884"
"Keshan","Keshan","48.0263","125.8660","China","CN","CHN","Heilongjiang","","72403","1156775094"
"Haikou","Haikou","20.0500","110.3200","China","CN","CHN","Hainan","admin","2046189","1156183327"
"Hohhot","Hohhot","40.8200","111.6600","China","CN","CHN","Inner Mongolia","admin","1726000","1156210167"
"Xinyang","Xinyang","32.1304","114.0700","China","CN","CHN","Henan","","1541000","1156273453"
"Lhasa","Lhasa","29.6450","91.1000","China","CN","CHN","Tibet","admin","219599","1156369972"
"Huinan","Huinan","42.6229","126.2614","China","CN","CHN","Jilin","","66315","1156136342"
"Zaozhuang","Zaozhuang","34.8800","117.5700","China","CN","CHN","Shandong","","2145000","1156796454"
"Laiwu","Laiwu","36.2004","117.6600","China","CN","CHN","Shandong","","124108","1156207332"
"Suzhou","Suzhou","33.6361","116.9789","China","CN","CHN","Anhui","","1964000","1156871297"
"Xiantao","Xiantao","30.3704","113.4400","China","CN","CHN","Hubei","","1556000","1156216927"
"Kunming","Kunming","25.0700","102.6800","China","CN","CHN","Yunnan","admin","2931000","1156477539"
"Yiyang","Yiyang","28.6004","112.3300","China","CN","CHN","Hunan","","1352000","1156218615"
"Anshan","Anshan","41.1150","122.9400","China","CN","CHN","Liaoning","","1639000","1156901825"
"Bugt","Bugt","48.7838","121.9334","China","CN","CHN","Inner Mongolia","","17457","1156809123"
"Chaoyang","Chaoyang","41.5504","120.4200","China","CN","CHN","Liaoning","","470296","1156706927"
"Fujin","Fujin","47.2704","132.0200","China","CN","CHN","Heilongjiang","","89442","1156404715"
"Chengdu","Chengdu","30.6700","104.0700","China","CN","CHN","Sichuan","admin","4123000","1156421555"
"Dunhua","Dunhua","43.3505","128.2200","China","CN","CHN","Jilin","","191870","1156058709"
"Manzhouli","Manzhouli","49.6000","117.4300","China","CN","CHN","Inner Mongolia","","93620","1156354568"
"Fuyang","Fuyang","32.9004","115.8200","China","CN","CHN","Anhui","","170023","1156248008"
"Xingyi","Xingyi","25.0904","104.8900","China","CN","CHN","Guizhou","","816000","1156255316"
"Harbin","Harbin","45.7500","126.6500","China","CN","CHN","Heilongjiang","admin","3621000","1156241528"
"Danjiangkou","Danjiangkou","32.5200","111.5000","China","CN","CHN","Hubei","","92008","1156347994"
"Cangzhou","Cangzhou","38.3204","116.8700","China","CN","CHN","Hebei","","527681","1156698069"
"Fuxin","Fuxin","42.0105","121.6600","China","CN","CHN","Liaoning","","770000","1156141954"
"Anshun","Anshun","26.2504","105.9300","China","CN","CHN","Guizhou","","849000","1156415948"
"Minxian","Minxian","34.4362","104.0306","China","CN","CHN","Gansu","minor","67826","1156556377"
"Nanning","Nanning","22.8200","108.3200","China","CN","CHN","Guangxi","admin","2167000","1156605439"
"Zhangjiakou","Zhangjiakou","40.8300","114.9300","China","CN","CHN","Hebei","","1046000","1156800221"
"Baotou","Baotou","40.6522","109.8220","China","CN","CHN","Inner Mongolia","","2036000","1156032751"
"Benxi","Benxi","41.3304","123.7500","China","CN","CHN","Liaoning","","1012000","1156097909"
"Zhengzhou","Zhengzhou","34.7550","113.6651","China","CN","CHN","Henan","admin","2636000","1156183137"
"Huainan","Huainan","32.6300","116.9800","China","CN","CHN","Anhui","","1451000","1156877299"
"Tongren","Tongren","27.6804","109.1300","China","CN","CHN","Guizhou","","118290","1156803442"
"Hancheng","Hancheng","35.4704","110.4300","China","CN","CHN","Shaanxi","","222135","1156265838"
"Huaiyin","Huaiyin","33.5800","119.0300","China","CN","CHN","Jiangsu","","1264000","1156662372"
"Jieshou","Jieshou","33.2504","115.3500","China","CN","CHN","Anhui","","141993","1156304827"
"Zicheng","Zicheng","30.3004","111.5000","China","CN","CHN","Hubei","","237042","1156230664"
"Tieling","Tieling","42.3004","123.8200","China","CN","CHN","Liaoning","","340000","1156089994"
"Beihai","Beihai","21.4804","109.1000","China","CN","CHN","Guangxi","","728978","1156421449"
"Shanxian","Shanxian","34.7904","116.0800","China","CN","CHN","Shandong","","74459","1156514157"
"Linyi","Linyi","35.0800","118.3300","China","CN","CHN","Shandong","","2082000","1156086320"
"Shuangyashan","Shuangyashan","46.6704","131.3500","China","CN","CHN","Heilongjiang","","500000","1156245904"
"Yishan","Yishan","24.5004","108.6667","China","CN","CHN","Guangxi","","47062","1156899793"
"Puqi","Puqi","29.7204","113.8800","China","CN","CHN","Hubei","","205164","1156189796"
"Fuyu","Fuyu","45.1804","124.8200","China","CN","CHN","Jilin","","356905","1156595629"
"Maoming","Maoming","21.9204","110.8700","China","CN","CHN","Guangdong","","1217715","1156785303"
"Weinan","Weinan","34.5004","109.5001","China","CN","CHN","Shaanxi","minor","172321","1156903687"
"Dali","Dali","34.7953","109.9378","China","CN","CHN","Shaanxi","minor","109696","1156708054"
"Shache","Shache","38.4261","77.2500","China","CN","CHN","Xinjiang","","373492","1156278934"
"Tangshan","Tangshan","39.6243","118.1944","China","CN","CHN","Hebei","","1879000","1156904299"
"Jianmen","Jianmen","30.6501","113.1600","China","CN","CHN","Hubei","","1708000","1156060544"
"Fushun","Fushun","41.8654","123.8700","China","CN","CHN","Liaoning","","1470000","1156857743"
"Zhuozhou","Zhuozhou","39.5401","115.7900","China","CN","CHN","Hebei","","628000","1156045160"
"Zhaotang","Zhaotang","27.3204","103.7200","China","CN","CHN","Yunnan","","809000","1156924687"
"Pingxiang","Pingxiang","22.0974","106.7567","China","CN","CHN","Guangxi","","31109","1156519507"
"Linfen","Linfen","36.0803","111.5200","China","CN","CHN","Shanxi","","834000","1156416074"
"Jiutai","Jiutai","44.1447","125.8443","China","CN","CHN","Jilin","","205399","1156061722"
"Dunhuang","Dunhuang","40.1427","94.6620","China","CN","CHN","Gansu","","140094","1156068377"
"Jinzhou","Jinzhou","41.1204","121.1000","China","CN","CHN","Liaoning","","956000","1156157151"
"Laiyang","Laiyang","36.9684","120.7084","China","CN","CHN","Shandong","","250000","1156207330"
"Guiyang","Guiyang","26.5800","106.7200","China","CN","CHN","Guizhou","admin","3662000","1156932620"
"Fuzhou","Fuzhou","26.0800","119.3000","China","CN","CHN","Fujian","admin","2606000","1156188037"
"Bengbu","Bengbu","32.9500","117.3300","China","CN","CHN","Anhui","","894000","1156440668"
"Chuxiong","Chuxiong","25.0364","101.5456","China","CN","CHN","Yunnan","","254370","1156225985"
"Hebi","Hebi","35.9504","114.2200","China","CN","CHN","Henan","","244662","1156114258"
"Shuyang","Shuyang","34.1299","118.7734","China","CN","CHN","Jiangsu","","1770000","1156051957"
"Lingyuan","Lingyuan","41.2400","119.4011","China","CN","CHN","Liaoning","","806000","1156184681"
"Jining","Jining","35.4004","116.5500","China","CN","CHN","Shandong","","1186000","1156504601"
"Buizhou","Buizhou","37.3704","118.0200","China","CN","CHN","Shandong","","115893","1156564962"
"Langfang","Langfang","39.5204","116.6800","China","CN","CHN","Hebei","","810000","1156109017"
"Dingzhou","Dingzhou","38.5004","115.0000","China","CN","CHN","Hebei","","152934","1156656582"
"Baoding","Baoding","38.8704","115.4800","China","CN","CHN","Hebei","","1107000","1156256829"
"Hangu","Hangu","39.2320","117.7770","China","CN","CHN","Tianjin","","332793","1156202457"
"Liaoyuan","Liaoyuan","42.9000","125.1300","China","CN","CHN","Jilin","","506548","1156249772"
"Yanji","Yanji","42.8823","129.5128","China","CN","CHN","Jilin","","488740","1156405468"
"Xuanzhou","Xuanzhou","30.9525","118.7553","China","CN","CHN","Anhui","","866000","1156424311"
"Yingkow","Yingkow","40.6703","122.2800","China","CN","CHN","Liaoning","minor","795000","1156257074"
"Guangyuan","Guangyuan","32.4300","105.8700","China","CN","CHN","Sichuan","","437435","1156084562"
"Tongling","Tongling","30.9504","117.7800","China","CN","CHN","Anhui","minor","562832","1156264408"
"Changling","Changling","44.2700","123.9900","China","CN","CHN","Jilin","minor","55841","1156262573"
"Nongan","Nongan","44.4304","125.1701","China","CN","CHN","Jilin","minor","141482","1156278589"
"Gejiu","Gejiu","23.3800","103.1501","China","CN","CHN","Yunnan","minor","149105","1156161838"
"Mengzi","Mengzi","23.3619","103.4061","China","CN","CHN","Yunnan","minor","303341","1156385754"
"Luzhou","Luzhou","28.8800","105.3800","China","CN","CHN","Sichuan","minor","1537000","1156582079"
"Tengchong","Tengchong","25.0333","98.4666","China","CN","CHN","Yunnan","minor","126058","1156832866"
"Huize","Huize","26.3504","103.4167","China","CN","CHN","Yunnan","minor","5170","1156252749"
"Zhanyi","Zhanyi","25.6005","103.8166","China","CN","CHN","Yunnan","minor","652604","1156207794"
"Liuhe","Liuhe","42.2789","125.7173","China","CN","CHN","Jilin","minor","68938","1156459313"
"Deyang","Deyang","31.1333","104.4000","China","CN","CHN","Sichuan","minor","152194","1156127147"
"Yibin","Yibin","28.7700","104.5700","China","CN","CHN","Sichuan","minor","902000","1156107603"
"Zhijiang","Zhijiang","27.4409","109.6780","China","CN","CHN","Hunan","minor","113907","1156128936"
"Shaoyang","Shaoyang","27.0000","111.2001","China","CN","CHN","Hunan","minor","45617","1156473609"
"Yueyang","Yueyang","29.3801","113.1000","China","CN","CHN","Hunan","minor","826000","1156795164"
"Neijiang","Neijiang","29.5804","105.0500","China","CN","CHN","Sichuan","minor","1466000","1156516335"
"Langzhong","Langzhong","31.5759","105.9656","China","CN","CHN","Sichuan","minor","60542","1156930148"
"Xichang","Xichang","27.8800","102.3000","China","CN","CHN","Sichuan","minor","379993","1156116456"
"Wenshan","Wenshan","23.3724","104.2497","China","CN","CHN","Yunnan","minor","152388","1156017759"
"Xuzhou","Xuzhou","34.2800","117.1800","China","CN","CHN","Jiangsu","minor","2091000","1156241678"
"Zigong","Zigong","29.4000","104.7800","China","CN","CHN","Sichuan","","1105000","1156023354"
"Mianyang","Mianyang","31.4700","104.7700","China","CN","CHN","Sichuan","minor","1396000","1156417758"
"Shaowu","Shaowu","27.3004","117.5000","China","CN","CHN","Fujian","","112585","1156978131"
"Suining","Suining","30.5333","105.5333","China","CN","CHN","Sichuan","minor","1425000","1156655650"
"Panzhihua","Panzhihua","26.5500","101.7300","China","CN","CHN","Sichuan","minor","461513","1156901342"
"Nanchong","Nanchong","30.7804","106.1300","China","CN","CHN","Sichuan","minor","2174000","1156522457"
"Tonghua","Tonghua","41.6800","125.7500","China","CN","CHN","Jilin","minor","27227","1156106507"
"Shaoguan","Shaoguan","24.8000","113.5800","China","CN","CHN","Guangdong","minor","720266","1156617066"
"Chaozhou","Chaozhou","23.6800","116.6300","China","CN","CHN","Guangdong","minor","424787","1156549118"
"Meizhou","Meizhou","24.3005","116.1200","China","CN","CHN","Guangdong","minor","414930","1156361028"
"Xiamen","Xiamen","24.4500","118.0800","China","CN","CHN","Fujian","minor","2519000","1156212809"
"Zhangzhou","Zhangzhou","24.5204","117.6700","China","CN","CHN","Fujian","minor","3531147","1156241637"
"Zhuhai","Zhuhai","22.2769","113.5678","China","CN","CHN","Guangdong","minor","1023000","1156722242"
"Putian","Putian","25.4303","119.0200","China","CN","CHN","Fujian","minor","376558","1156811601"
"Foshan","Foshan","23.0301","113.1200","China","CN","CHN","Guangdong","minor","943000","1156738403"
"Dongguan","Dongguan","23.0489","113.7447","China","CN","CHN","Guangdong","minor","4528000","1156478242"
"Zhanjiang","Zhanjiang","21.2000","110.3800","China","CN","CHN","Guangdong","minor","1590000","1156502170"
"Jiangmen","Jiangmen","22.5804","113.0800","China","CN","CHN","Guangdong","minor","532419","1156105613"
"Huizhou","Huizhou","23.0800","114.4000","China","CN","CHN","Guangdong","minor","289201","1156203268"
"Qingyuan","Qingyuan","23.7004","113.0301","China","CN","CHN","Guangdong","minor","706717","1156135890"
"Heyuan","Heyuan","23.7304","114.6800","China","CN","CHN","Guangdong","minor","330961","1156665165"
"Quanzhou","Quanzhou","24.9000","118.5800","China","CN","CHN","Fujian","minor","1463000","1156829655"
"Longyan","Longyan","25.1804","117.0300","China","CN","CHN","Fujian","minor","367896","1156012979"
"Sanming","Sanming","26.2300","117.5800","China","CN","CHN","Fujian","minor","209444","1156294429"
"Ninde","Ninde","26.6804","119.5301","China","CN","CHN","Fujian","minor","314077","1156909802"
"Wuzhou","Wuzhou","23.4800","111.3200","China","CN","CHN","Guangxi","minor","442315","1156620133"
"Zhaoqing","Zhaoqing","23.0504","112.4500","China","CN","CHN","Guangdong","minor","480000","1156170144"
"Wangqing","Wangqing","43.3248","129.7343","China","CN","CHN","Jilin","minor","88732","1156184335"
"Shenzhen","Shenzhen","22.5524","114.1221","China","CN","CHN","Guangdong","minor","7581000","1156158707"
"Guilin","Guilin","25.2800","110.2800","China","CN","CHN","Guangxi","minor","987000","1156235364"
"Liuzhou","Liuzhou","24.2800","109.2500","China","CN","CHN","Guangxi","minor","1497000","1156360785"
"Yuxi","Yuxi","24.3800","102.5700","China","CN","CHN","Yunnan","minor","396325","1156682309"
"Shantou","Shantou","23.3700","116.6700","China","CN","CHN","Guangdong","minor","1601000","1156457499"
"Nanping","Nanping","26.6304","118.1700","China","CN","CHN","Fujian","minor","213054","1156927445"
"Pingdingshan","Pingdingshan","33.7304","113.3000","China","CN","CHN","Henan","","849000","1156735124"
"Ningbo","Ningbo","29.8800","121.5500","China","CN","CHN","Zhejiang","minor","1923000","1156170787"
"Nanyang","Nanyang","33.0004","112.5300","China","CN","CHN","Henan","","1944000","1156192287"
"Longxi","Longxi","35.0476","104.6394","China","CN","CHN","Gansu","","355037","1156905289"
"Linjiang","Linjiang","41.8363","126.9360","China","CN","CHN","Jilin","minor","84315","1156357534"
"Changting","Changting","25.8670","116.3167","China","CN","CHN","Fujian","","87458","1156238244"
"Jiujiang","Jiujiang","29.7300","115.9800","China","CN","CHN","Jiangxi","minor","545616","1156206041"
"Helong","Helong","42.5348","129.0044","China","CN","CHN","Jilin","","85756","1156223178"
"Chifeng","Chifeng","42.2700","118.9500","China","CN","CHN","Inner Mongolia","minor","1277000","1156277458"
"Yichun","Yichun","27.8333","114.4000","China","CN","CHN","Jiangxi","minor","982000","1156229590"
"Jian","Jian","27.1304","115.0000","China","CN","CHN","Jiangxi","minor","520248","1156278215"
"Anlu","Anlu","31.2700","113.6700","China","CN","CHN","Hubei","minor","71198","1156406202"
"Shaoxing","Shaoxing","30.0004","120.5700","China","CN","CHN","Zhejiang","minor","777000","1156893449"
"Shashi","Shashi","30.3200","112.2300","China","CN","CHN","Hubei","","520000","1156254380"
"Huangshi","Huangshi","30.2200","115.1000","China","CN","CHN","Hubei","minor","688090","1156234290"
